"stn","lon_o","lat_o","ele","law_id","sido","lon_l","lat_l","dist","dii","yii","xii"
10,126.5329,33.361,1909,5011013900,50,126.529,33.3566,0.00587962583843432,44840,75,292
12,126.3167,36.5333,60,4482525321,44,126.315,36.5307,0.00310644491339652,183888,306,278
13,126.2,33.2833,51.9,5011031023,50,126.202,33.2895,0.00651459898995927,41810,70,272
18,128.1990417,36.12941389,134,4715012000,47,128.191,36.1346,0.00956894329705095,167744,279,388
30,126.986532,38.116577,45,4180037022,41,126.992,38.1165,0.00546854212748539,253156,421,316
31,126.812115,37.83958,71,4148025322,41,126.812,37.8411,0.00152434412125338,241106,401,306
32,126.229158,37.77554,27,2871040028,28,126.234,37.7748,0.00489822049319611,238063,396,273
87,131.86983,37.23952,96.15,4794025027,47,131.864,37.2445,0.00766741807912346,222735,370,597
88,125.55951,36.62542,103.56,4482533029,44,125.559,36.6268,0.00147122398023495,188058,313,234
90,128.56473,38.25085,17.53,4282033035,42,128.565,38.2553,0.0044581834865769,260469,433,405
92,128.6667,38.0667,75.4,4283032021,42,128.663,38.0726,0.00696419413858522,252649,420,411
93,127.75443,37.94738,95.78,4211025024,42,127.762,37.9536,0.00979761705722394,246578,410,360
95,127.3042,38.14787,155.48,4278025624,42,127.31,38.1544,0.00873389374793146,254980,424,334
96,131.86983,37.23952,96.15,4794025027,47,131.864,37.2445,0.00766741807912346,222735,370,597
98,127.0607,37.90188,115.62,4125010300,41,127.059,37.908,0.00635172417537418,244130,406,320
99,126.76648,37.88589,30.59,4148025025,41,126.76,37.883,0.00709524488653886,242909,404,303
100,128.71834,37.67713,772.43,4276038024,42,128.717,37.6833,0.00631383401746136,235797,392,415
101,127.7357,37.90262,75.82,4211011800,42,127.743,37.8986,0.00833369065900499,244169,406,359
102,124.71241,37.97396,36,2872033021,28,124.706,37.9745,0.00643270549613711,247006,411,186
104,128.85535,37.80456,75.24,4215036027,42,128.862,37.8039,0.00668267162144793,241223,401,423
105,128.89099,37.75147,27.12,4215010700,42,128.895,37.7476,0.00557288076313966,238817,397,425
106,129.12433,37.50709,40.46,4217010400,42,129.128,37.5052,0.00412807461172662,228597,380,439
108,126.9658,37.57142,85.67,1111017800,11,126.966,37.5768,0.00538371618865131,229677,382,315
110,126.7756,37.5683,11.38,1150010800,11,126.774,37.5646,0.00403112887414966,229064,381,304
112,126.6249,37.47772,68.99,2811013700,28,126.616,37.4827,0.010198548916389,225443,375,295
113,126.4392,37.4625,7.1,2811014700,28,126.442,37.4559,0.00716937933157034,224229,373,285
114,127.94659,37.33749,150.11,4213010600,42,127.954,37.3411,0.00824258454611532,220102,366,372
115,130.89864,37.48129,222.8,4794025024,47,130.907,37.4759,0.00994694425440077,230505,383,541
116,126.96402,37.44526,624.82,4129010700,41,126.964,37.4384,0.00686002915445311,223657,372,315
119,126.983,37.25746,39.81,4111312800,41,126.979,37.2585,0.0041329892329924,215832,359,316
121,128.45743,37.18126,240.85,4275025022,42,128.453,37.178,0.00550022726802237,213509,355,401
127,127.9525,36.97045,114.85,4313012200,43,127.96,36.9677,0.00798827265432845,203849,339,373
128,127.5,36.71666667,58,4311425040,43,127.504,36.7131,0.00535921028594463,192385,320,347
129,126.4939,36.77658,25.25,4421010600,44,126.489,36.7785,0.00526273693052547,194734,324,288
130,129.41278,36.99176,48.98,4793025023,47,129.415,36.9978,0.00643506021727523,206943,344,457
131,127.44066,36.63924,57.16,4311311400,43,127.434,36.6451,0.00887103150709858,189371,315,343
133,127.37211,36.37198,70.22,3020012400,30,127.376,36.3699,0.00441117898072444,177328,295,340
135,127.99458,36.22025,244.98,4374033521,43,127.989,36.2216,0.00574098423616961,171344,285,376
136,128.70733,36.57293,141.26,4717012900,47,128.705,36.5773,0.0049523529761131,187639,312,417
137,128.15741,36.40837,96.58,4725011000,47,128.149,36.4114,0.00893918340789462,179781,299,385
138,129.38002,36.03201,3.94,4711110400,47,129.381,36.0321,0.000984123975928309,164804,274,458
139,129.4167,35.9833,21,4711132021,47,129.413,35.9897,0.00739256383130023,163000,271,460
140,126.76135,36.0053,23.2,4513013800,45,126.755,36.0043,0.00642825792886108,161038,268,304
142,128.6611111,35.89083333,35.4,2714010800,27,128.659,35.8887,0.00300130639870871,157538,262,416
143,128.65296,35.87797,54.27,2714010300,27,128.658,35.875,0.00584999999998136,156936,261,416
146,127.119,35.8408,61.4,4511310600,45,127.127,35.8354,0.00965194280960816,153836,256,326
151,129.3522222,35.59333333,12.6,3120012600,31,129.358,35.5918,0.0059777984014979,145540,242,458
152,129.3347222,35.5825,83.2,3111011400,31,129.341,35.5786,0.00739058677239317,144937,241,457
153,128.9344444,35.16916667,4,2644010200,26,128.933,35.1649,0.00450452708382239,126252,210,434
155,128.57285,35.1702,37.6,4812510100,48,128.58,35.1748,0.00850191154978177,126231,210,413
156,126.89158,35.17294,72.38,2917010900,29,126.897,35.1772,0.00689376529916908,124927,208,313
158,126.8116667,35.125,12.8,2920010400,29,126.813,35.123,0.0024036823604642,122514,204,308
159,129.03203,35.10468,69.56,2611011600,26,129.031,35.1069,0.0024473046397979,123850,206,440
160,128.99996,35.11881,518.46,2614010600,26,128.998,35.1217,0.00349194788047456,124450,207,438
161,128.0666667,35.08333333,8,4824025028,48,128.072,35.0769,0.00835654376993205,121385,202,383
162,128.4356,34.84546,32.3,4822010900,48,128.433,34.8487,0.00415422676318871,111775,186,405
163,126.3830556,34.99138888,10.9,4684035023,46,126.375,34.9882,0.00866381249880875,116468,194,282
165,126.38151,34.81732,44.7,4611010300,46,126.374,34.8233,0.00960002604164022,109244,182,282
167,127.6125,34.84666667,17.9,4613032028,46,127.613,34.8519,0.00525716110547632,111124,185,356
168,127.74064,34.73929,64.64,4613010500,46,127.744,34.7398,0.00339848495656673,106316,177,364
169,125.45103,34.68719,76.49,4691036022,46,125.455,34.6852,0.00444083325514034,103169,172,227
170,126.70184,34.39587,35.24,4689031022,46,126.704,34.3961,0.00217221085531569,90602,151,302
172,126.599,35.3489,52,4579038025,45,126.596,35.3445,0.00532541078228107,132133,220,295
174,127.3694,35.0204,165,4615025025,46,127.365,35.0206,0.00440454310911298,118333,197,341
175,126.3238,34.47211,478.51,4690033021,46,126.322,34.4667,0.00570158749823113,93589,156,279
177,126.68772,36.65759,27.74,4480025625,44,126.694,36.653,0.00777859241765829,189328,315,300
182,126.5,33.51666667,26.5,5011010900,50,126.498,33.5208,0.00459177709486179,52062,87,290
184,126.52969,33.51411,20.79,5011010700,50,126.531,33.5207,0.00671894336930685,52064,87,292
185,126.16283,33.29382,71.39,5011031023,50,126.169,33.2896,0.00747511203928999,41808,70,270
188,126.8802,33.38677,20.34,5013025927,50,126.873,33.3814,0.00898203206406849,46065,77,313
189,126.5653,33.24616,51.86,5013010100,50,126.561,33.2471,0.004401545183215,40026,67,294
192,128.04002,35.16379,30.21,4817012600,48,128.041,35.1601,0.0038179182809469,124995,208,381
201,126.44634,37.70739,47.84,2871032027,28,126.443,37.7049,0.004166017282733,235065,391,285
202,127.49446,37.48863,47.26,4183025021,41,127.488,37.4874,0.00657605504843538,226095,376,345
203,127.48421,37.26399,80.09,4150025328,41,127.483,37.2662,0.00251956345425002,216463,360,345
