,Total,0,1,2,3,0 (%),1 (%),2 (%),3 (%)
Jan,28046568,27125516,795100,99352,26600,96.71599034862305,2.8349279669441194,0.3542394206663717,0.09484226376646156
Feb,25294687,24214513,879237,155349,45588,95.72964077396965,3.475975014041486,0.6141566408787743,0.18022757111009122
Mar,28046568,26904726,951705,148715,41422,95.92876390437503,3.393302881122567,0.5302431299259147,0.14769008457648009
Apr,27141840,25530284,1063913,332643,215000,94.06246591977552,3.919826364019536,1.2255727688321794,0.7921349473727647
May,28046568,26755961,930706,226889,133012,95.39834249951723,3.31843097522663,0.8089724204401764,0.4742541048159618
Jun,27141840,25514615,1092355,303919,230951,94.00473586168071,4.024616606685472,1.119743539863178,0.8509039917706389
Jul,28046568,25932157,1248066,407814,458531,92.46107045967264,4.4499776229305485,1.4540602614908176,1.6348916559059918
Aug,27971174,25813440,1267459,410612,479663,92.285865441329,4.531304263453511,1.467982716778352,1.7148475784391457
Sep,27141840,25331368,1146622,357721,306129,93.32959003516342,4.22455515175095,1.3179688628331756,1.1278859502524516
Oct,28046568,26152251,1281309,354387,258621,93.24581531686871,4.568505494148161,1.2635663657671057,0.922112823216017
Nov,27141840,26295503,721634,89767,34936,96.88179946532733,2.658751212150687,0.3307329200967952,0.12871640242518562
Dec,28046568,27277411,674160,61888,33109,97.25757176421729,2.4037165616841247,0.22066157969845007,0.11805009440014193
