,Total,0,1,2,3,0 (%),1 (%),2 (%),3 (%)
Jan,28046568,26938735,1002718,81747,23368,96.05002294754922,3.575189663134541,0.2914688171472531,0.08331857216897269
Feb,25256990,23992795,1030322,144101,89772,94.99467276187701,4.079353873917676,0.5705390864073668,0.35543427779794823
Mar,28046568,26392487,1006723,388572,258786,94.1023764476281,3.589469485179078,1.38545293670156,0.92270113049126
Apr,27141840,25413352,957644,397613,373231,93.63164767016532,3.5282943234504365,1.4649448968824517,1.3751131095017877
May,28046568,25815679,1281927,499151,449811,92.04576830933468,4.5707089723063445,1.7797222105749269,1.603800507784054
Jun,27141840,24951966,1256101,448265,485508,91.93174081049774,4.627913951301754,1.65156452178629,1.788780716414215
Jul,28046568,26249542,1035593,391223,370210,93.5927062448425,3.6924054308534293,1.3949050735904658,1.319983250713599
Aug,28046568,25954507,1169357,407126,515578,92.5407593542283,4.169340790645045,1.451607198427986,1.8382926566986733
Sep,27141840,24801093,1430715,500962,409070,91.37587208531183,5.2712527964205815,1.845718639561651,1.5071564787059388
Oct,28046568,26512810,868368,326322,339068,94.53138794022856,3.0961649211411535,1.163500646496213,1.208946492134082
Nov,27141840,25862636,834977,274763,169464,95.28696654316731,3.076346334662646,1.0123226723022463,0.6243644498678056
Dec,28046568,26326417,1382703,247289,90159,93.86680395262623,4.930025663032995,0.8817085926520493,0.3214617916887371
